,0,1,2,3,4,5
80,607.9649,1.094e-26,4,5,132,164
81,608.0939,1.52e-26,4,5,132,164
82,608.2748,1.868e-26,4,5,132,164
83,608.498,2.0700000000000002e-26,4,5,132,164
84,608.8581,8.027e-27,4,5,132,164
85,608.9041,4.511e-27,4,5,132,164
86,608.9064,1.243e-26,4,5,132,164
87,609.0203,1.694e-26,4,5,132,164
88,609.1847,2.049e-26,4,5,132,164
89,609.3907,2.2409999999999999e-26,4,5,132,164
90,609.8097,9.304999999999999e-27,4,5,132,164
91,609.8449,1.41e-26,4,5,132,164
92,609.8647,5.327e-27,4,5,132,164
93,609.9434,1.8829999999999998e-26,4,5,132,164
94,610.0912,2.2380000000000002e-26,4,5,132,164
95,610.7586,1.072e-26,4,5,132,164
96,610.7803,1.594e-26,4,5,132,164
97,610.8231,6.287e-27,4,5,132,164
98,610.8632,2.085e-26,4,5,132,164
99,610.9943,2.437e-26,4,5,132,164
100,611.7047,1.2329999999999998e-26,4,5,132,164
101,611.7125,1.79e-26,4,5,132,164
102,611.7793,7.387999999999999e-27,4,5,132,164
103,611.7797,2.301e-26,4,5,132,164
104,611.8939,2.642e-26,4,5,132,164
105,611.987,3.836e-27,4,5,132,164
106,612.6416,2.0069999999999995e-26,4,5,132,164
107,612.6479,1.4069999999999998e-26,4,5,132,164
108,612.6928,2.525e-26,4,5,132,164
109,612.7332,8.630000000000001e-27,4,5,132,164
110,612.7901,2.8589999999999995e-26,4,5,132,164
111,612.9445,4.5820000000000006e-27,4,5,132,164
112,613.5675,2.2380000000000002e-26,4,5,132,164
113,613.5883,1.602e-26,4,5,132,164
114,613.6026,2.766e-26,4,5,132,164
115,613.6828,3.0869999999999996e-26,4,5,132,164
116,613.6847,1.005e-26,4,5,132,164
117,613.9003,5.469e-27,4,5,132,164
118,614.4902,2.483e-26,4,5,132,164
119,614.5089,3.015e-26,4,5,132,164
120,614.5257,1.814e-26,4,5,132,164
121,614.572,3.324e-26,4,5,132,164
122,614.6338,1.1619999999999999e-26,4,5,132,164
123,614.8548,6.462999999999999e-27,4,5,132,164
124,615.4097,2.7449999999999997e-26,4,5,132,164
125,615.4119,3.2780000000000007e-26,4,5,132,164
126,615.4602,2.0459999999999998e-26,4,5,132,164
127,615.5804,1.3380000000000002e-26,4,5,132,164
128,615.8074,7.6e-27,4,5,132,164
129,616.2355,3.7290000000000005e-27,4,5,132,164
130,616.3114,3.5519999999999995e-26,4,5,132,164
131,616.3259,3.022e-26,4,5,132,164
132,616.3916,2.298e-26,4,5,132,164
133,616.5243,1.538e-26,4,5,132,164
134,616.6032,3.764e-27,4,5,132,164
135,616.7079,3.978e-27,4,5,132,164
136,616.7584,8.95e-27,4,5,132,164
137,616.8091,4.156e-27,4,5,132,164
138,616.9067,4.297e-27,4,5,132,164
139,617.0008,4.404e-27,4,5,132,164
140,617.0914,4.475e-27,4,5,132,164
141,617.1766,4.475e-27,4,5,132,164
142,617.1784,4.439e-27,4,5,132,164
143,617.2075,3.8360000000000005e-26,4,5,132,164
144,617.2387,3.317e-26,4,5,132,164
145,617.2619,4.3680000000000006e-27,4,5,132,164
146,617.3199,2.5710000000000004e-26,4,5,132,164
147,617.3418,4.156e-27,4,5,132,164
148,617.4182,3.836e-27,4,5,132,164
149,617.4657,1.755e-26,4,5,132,164
150,617.4909,3.415999999999999e-27,4,5,132,164
151,617.7075,1.044e-26,4,5,132,164
152,618.1001,4.1200000000000004e-26,4,5,132,164
153,618.1245,5.3630000000000005e-27,4,5,132,164
154,618.1483,3.622e-26,4,5,132,164
155,618.2452,2.863e-26,4,5,132,164
156,618.4043,1.996e-26,4,5,132,164
157,618.6546,1.2139999999999998e-26,4,5,132,164
158,618.9893,4.4389999999999996e-26,4,5,132,164
159,619.0545,3.9419999999999995e-26,4,5,132,164
160,619.0669,6.3580000000000005e-27,4,5,132,164
161,619.1673,3.1749999999999996e-26,4,5,132,164
162,619.3402,2.259e-26,4,5,132,164
163,619.5996,1.4069999999999998e-26,4,5,132,164
164,619.8749,4.759e-26,4,5,132,164
165,619.9573,4.297e-26,4,5,132,164
166,620.0123,7.529000000000001e-27,4,5,132,164
167,620.0863,3.5060000000000003e-26,4,5,132,164
168,620.2732,2.5459999999999999e-26,4,5,132,164
169,620.4413,4.794e-27,4,5,132,164
170,620.5426,1.619e-26,4,5,132,164
171,620.5559,5.186e-27,4,5,132,164
172,620.6672,5.612e-27,4,5,132,164
173,620.7094,3.427e-27,4,5,132,164
174,620.7749,6.002e-27,4,5,132,164
175,620.8567,4.617e-26,4,5,132,164
176,620.8793,6.3580000000000005e-27,4,5,132,164
177,620.9544,8.914e-27,4,5,132,164
178,620.9801,6.713e-27,4,5,132,164
179,621.002,3.8710000000000004e-26,4,5,132,164
180,621.0775,6.996e-27,4,5,132,164
181,621.1714,7.209999999999999e-27,4,5,132,164
182,621.2034,2.8589999999999995e-26,4,5,132,164
183,621.2617,7.387999999999999e-27,4,5,132,164
184,621.3486,7.423000000000001e-27,4,5,132,164
185,621.4319,7.387999999999999e-27,4,5,132,164
186,621.4832,1.858e-26,4,5,132,164
187,621.5117,7.174e-27,4,5,132,164
188,621.5879,6.855e-27,4,5,132,164
189,621.6606,6.321999999999999e-27,4,5,132,164
190,621.7293,4.156e-27,4,5,132,164
191,621.7296,5.5760000000000006e-27,4,5,132,164
192,621.7526,4.972e-26,4,5,132,164
193,621.7951,4.617000000000001e-27,4,5,132,164
194,621.8571,3.390999999999999e-27,4,5,132,164
195,621.8972,1.044e-26,4,5,132,164
196,621.9145,4.2259999999999994e-26,4,5,132,164
197,622.1307,3.196e-26,4,5,132,164
198,622.4216,2.12e-26,4,5,132,164
199,622.5706,5.008e-27,4,5,132,164
200,622.6451,5.363e-26,4,5,132,164
201,622.8237,4.617e-26,4,5,132,164
202,622.8378,1.222e-26,4,5,132,164
203,623.055,3.5519999999999995e-26,4,5,132,164
204,623.3575,2.412e-26,4,5,132,164
205,623.5342,5.754e-26,4,5,132,164
206,623.5511,5.966000000000001e-27,4,5,132,164
207,623.7296,5.008e-26,4,5,132,164
208,623.7779,1.42e-26,4,5,132,164
209,623.9762,3.9419999999999995e-26,4,5,132,164
210,624.2909999999999,2.7280000000000005e-26,4,5,132,164
211,624.3767,5.469e-27,4,5,132,164
212,624.4197,6.143999999999999e-26,4,5,132,164
213,624.4299,7.137999999999998e-27,4,5,132,164
214,624.5006,6.0729999999999995e-27,4,5,132,164
215,624.6213,6.677e-27,4,5,132,164
216,624.6321,5.434e-26,4,5,132,164
217,624.7161,1.644e-26,4,5,132,164
218,624.7386,7.315999999999999e-27,4,5,132,164
219,624.8526,7.991e-27,4,5,132,164
220,624.8944,4.333e-26,4,5,132,164
221,624.9632,8.630000000000001e-27,4,5,132,164
